alpine_url;arch;bdate;branch;description;license;maintainer;name;pkg_url;repo;version
http://search.cpan.org/dist/ExtUtils-Config/;armv7;2018-09-27 15:44:51;edge;A wrapper for perl's configuration (documentation);GPL PerlArtistic;Natanael Copa;perl-extutils-config-doc;/package/edge/main/armv7/perl-extutils-config-doc;main;0.008-r0
http://search.cpan.org/dist/DateTime-TimeZone/;armv7;2018-09-27 15:43:13;edge;Time zone object base class and factory;GPL PerlArtistic;Natanael Copa;perl-datetime-timezone;/package/edge/main/armv7/perl-datetime-timezone;main;2.19-r0
http://search.cpan.org/dist/DateTime-TimeZone/;armv7;2018-09-27 15:43:11;edge;Time zone object base class and factory (documentation);GPL PerlArtistic;Natanael Copa;perl-datetime-timezone-doc;/package/edge/main/armv7/perl-datetime-timezone-doc;main;2.19-r0
http://search.cpan.org/dist/namespace-autoclean/;armv7;2018-09-27 15:42:57;edge;Keep imports out of your namespace;GPL PerlArtistic;Francesco Colista;perl-namespace-autoclean;/package/edge/main/armv7/perl-namespace-autoclean;main;0.28-r0
http://search.cpan.org/dist/namespace-autoclean/;armv7;2018-09-27 15:42:51;edge;Keep imports out of your namespace (documentation);GPL PerlArtistic;Francesco Colista;perl-namespace-autoclean-doc;/package/edge/main/armv7/perl-namespace-autoclean-doc;main;0.28-r0
http://search.cpan.org/dist/namespace-clean/;armv7;2018-09-27 15:42:35;edge;Keep imports and functions out of your namespace;GPL PerlArtistic;Francesco Colista;perl-namespace-clean;/package/edge/main/armv7/perl-namespace-clean;main;0.27-r0
http://search.cpan.org/dist/namespace-clean/;armv7;2018-09-27 15:42:28;edge;Keep imports and functions out of your namespace (documentation);GPL PerlArtistic;Francesco Colista;perl-namespace-clean-doc;/package/edge/main/armv7/perl-namespace-clean-doc;main;0.27-r0
http://search.cpan.org/dist/Dist-CheckConflicts/;armv7;2018-09-27 15:39:12;edge;declare version conflicts for your dist;GPL PerlArtistic;Francesco Colista;perl-dist-checkconflicts;/package/edge/main/armv7/perl-dist-checkconflicts;main;0.11-r0
http://search.cpan.org/dist/Dist-CheckConflicts/;armv7;2018-09-27 15:39:00;edge;declare version conflicts for your dist (documentation);GPL PerlArtistic;Francesco Colista;perl-dist-checkconflicts-doc;/package/edge/main/armv7/perl-dist-checkconflicts-doc;main;0.11-r0
http://search.cpan.org/dist/B-Hooks-EndOfScope/;armv7;2018-09-27 15:38:05;edge;Execute code after a scope finished compilation;GPL PerlArtistic;Francesco Colista;perl-b-hooks-endofscope;/package/edge/main/armv7/perl-b-hooks-endofscope;main;0.24-r0
http://search.cpan.org/dist/B-Hooks-EndOfScope/;armv7;2018-09-27 15:38:03;edge;Execute code after a scope finished compilation (documentation);GPL PerlArtistic;Francesco Colista;perl-b-hooks-endofscope-doc;/package/edge/main/armv7/perl-b-hooks-endofscope-doc;main;0.24-r0
http://search.cpan.org/dist/Sub-Exporter-Progressive/;armv7;2018-09-27 15:36:44;edge;Only use Sub::Exporter if you need it;GPL PerlArtistic;Francesco Colista;perl-sub-exporter-progressive;/package/edge/main/armv7/perl-sub-exporter-progressive;main;0.001013-r0
http://search.cpan.org/dist/Sub-Exporter-Progressive/;armv7;2018-09-27 15:36:37;edge;Only use Sub::Exporter if you need it (documentation);GPL PerlArtistic;Francesco Colista;perl-sub-exporter-progressive-doc;/package/edge/main/armv7/perl-sub-exporter-progressive-doc;main;0.001013-r0
http://search.cpan.org/dist/Sub-Exporter/;armv7;2018-09-27 15:36:18;edge;a sophisticated exporter for custom-built routines;GPL PerlArtistic;Natanael Copa;perl-sub-exporter;/package/edge/main/armv7/perl-sub-exporter;main;0.987-r0
http://search.cpan.org/dist/Sub-Exporter/;armv7;2018-09-27 15:36:03;edge;a sophisticated exporter for custom-built routines (documentation);GPL PerlArtistic;Natanael Copa;perl-sub-exporter-doc;/package/edge/main/armv7/perl-sub-exporter-doc;main;0.987-r0
http://search.cpan.org/dist/Data-OptList/;armv7;2018-09-27 15:35:53;edge;Data::OptList perl module;GPL-2.0 or Artistic;Natanael Copa;perl-data-optlist;/package/edge/main/armv7/perl-data-optlist;main;0.110-r0
http://search.cpan.org/dist/Data-OptList/;armv7;2018-09-27 15:35:50;edge;Data::OptList perl module (documentation);GPL-2.0 or Artistic;Natanael Copa;perl-data-optlist-doc;/package/edge/main/armv7/perl-data-optlist-doc;main;0.110-r0
http://search.cpan.org/dist/Sub-Install/;armv7;2018-09-27 15:35:11;edge;Sub::Install perl module;GPL-2.0 or Artistic;Natanael Copa;perl-sub-install;/package/edge/main/armv7/perl-sub-install;main;0.928-r0
http://search.cpan.org/dist/Sub-Install/;armv7;2018-09-27 15:35:08;edge;Sub::Install perl module (documentation);GPL-2.0 or Artistic;Natanael Copa;perl-sub-install-doc;/package/edge/main/armv7/perl-sub-install-doc;main;0.928-r0
https://metacpan.org/release/Params-ValidationCompiler;armv7;2018-09-27 15:34:14;edge;Params::ValidationCompiler perl module;GPL or Artistic-2.0;Leonardo Arena;perl-params-validationcompiler;/package/edge/main/armv7/perl-params-validationcompiler;main;0.27-r0
